athlete_id,Athlete,Team,City,State,Lat,Long
181,Hagen Kearney,Snowboard,Silverthorne,Colorado,39.6296,-106.0713
182,Jake Vedder,Snowboard,Pinckney,Michigan,42.4567,-83.9463
183,Lindsey Jacobellis,Snowboard,Stratton Mountain,Vermont,43.1134,-72.9081
184,Mick Dierdorff,Snowboard,Steamboat Springs,Colorado,40.485,-106.8317
185,Nick Baumgartner,Snowboard,Iron River,Michigan,46.0927,-88.6424
186,Nate Holland,Snowboard,Squaw Valley,California,39.197,-120.2357
187,Rosie Mancari,Snowboard,Anchorage,Alaska,61.2181,-149.9003
188,Senna Leith,Snowboard,Vail,Colorado,39.6403,-106.3742
189,Livia Molodyh,Snowboard,Hubbard,Oregon,45.1823,-122.8079
190,Meghan Tierney,Snowboard,Eagle,Colorado,39.6553,-106.8287
191,Mikey LaCroix,Snowboard,Shrewsbury,Massachusetts,42.2959,-71.7128
192,Stacy Gaskill,Snowboard,Golden,Colorado,39.7555,-105.2211
193,"Aaron ""AJ"" Muss",Snowboard,Rumson,New Jersey,40.3721,-73.999
