athlete_id,Name,Team,City,State
165,Lyon Farrell,Snowboard,Haiku,Hawaii
166,Red Gerard,Snowboard,Silverthorne,Colorado
167,Ryan Stassel,Snowboard,Anchorage,Alaska
168,Sean FitzSimons,Snowboard,Hood River,Oregon
169,Jack Coyne,Snowboard,Edwards,Colorado
170,Jason Wolle,Snowboard,Winter Park,Colorado
171,Lucas Foster,Snowboard,Telluride,Colorado
172,Tessa Maud,Snowboard,Carlsbad,California
173,Addie Gardner,Snowboard,Riegelsville,Pennsylvania
174,Courtney Rummel,Snowboard,West Bend,Wisconsin
175,Dusty Henricksen,Snowboard,Mammoth Lakes,California
176,Jade Thurgood,Snowboard,Salt Lake City,Utah
177,Jake Canter,Snowboard,Evergreen,Colorado
178,Ty Schnorrbusch,Snowboard,Frisco,Colorado
179,Alex Deibold,Snowboard,Salt Lake City,Utah 
180,Faye Gulini,Snowboard,Salt Lake City,Utah
181,Hagen Kearney,Snowboard,Silverthorne,Colorado
182,Jake Vedder,Snowboard,Pinckney,Michigan
183,Lindsey Jacobellis,Snowboard,Stratton Mountain,Vermont
184,Mick Dierdorff,Snowboard,Steamboat Springs,Colorado
185,Nick Baumgartner,Snowboard,Iron River,Michigan
186,Nate Holland,Snowboard,Squaw Valley,California
187,Rosie Mancari,Snowboard,Anchorage,Alaska
188,Senna Leith,Snowboard,Vail,Colorado
189,Livia Molodyh,Snowboard,Hubbard,Oregon
190,Meghan Tierney,Snowboard,Eagle,Colorado
191,Mikey LaCroix,Snowboard,Shrewsbury,Massachusetts
192,Stacy Gaskill,Snowboard,Golden,Colorado
193,"Aaron ""AJ"" Muss",Snowboard,Rumson,New Jersey
